"","year","month_name","date","dog_name","weight_lbs","std"
"147","2018","November","06","raisin",18.4375,20.975
"148","2018","November","06","simone",10.5,20.975
"149","2018","November","06","gagne",10.75,20.975
"150","2018","November","18","raisin",19.4375,NA
"151","2018","November","19","raisin",19,NA
"152","2018","November","19","simone",10.4375,NA
"153","2018","November","19","gagne",10.875,NA
"154","2018","November","20","raisin",18.5625,NA
"155","2018","November","20","simone",10.4375,NA
"156","2018","November","20","gagne",10.5625,NA
"157","2018","November","21","raisin",18.4375,NA
"158","2018","November","21","simone",10.5,NA
"159","2018","November","21","gagne",10.6875,NA
"160","2018","November","22","raisin",18.5,NA
"161","2018","November","22","simone",10.3125,NA
"162","2018","November","22","gagne",10.6875,NA
"163","2018","November","23","raisin",18.4375,NA
"164","2018","November","23","simone",10.25,NA
"165","2018","November","23","gagne",10.5,NA
"166","2018","November","29","raisin",18.3125,NA
"167","2018","November","29","simone",10.5,NA
"168","2018","November","29","gagne",10.625,NA
"169","2018","December","01","raisin",18.25,NA
"170","2018","December","01","simone",10.375,NA
"171","2018","December","01","gagne",10.4375,NA
"172","2018","December","04","raisin",18.4375,NA
"173","2018","December","04","simone",10.375,NA
"174","2018","December","04","gagne",10.625,NA
"175","2018","December","05","raisin",18.25,NA
"176","2018","December","05","simone",10.4375,NA
"177","2018","December","05","gagne",10.75,NA
"178","2018","December","06","raisin",18.1875,NA
"179","2018","December","06","simone",10.5,NA
"180","2018","December","06","gagne",10.6875,NA
"181","2018","December","08","raisin",18.25,NA
"182","2018","December","08","simone",10.6875,NA
"183","2018","December","08","gagne",10.875,NA
"184","2018","December","09","raisin",18.1875,NA
"185","2018","December","09","simone",10.5,NA
"186","2018","December","09","gagne",10.8125,NA
"187","2018","December","10","raisin",18.125,NA
"188","2018","December","11","raisin",18.25,NA
"189","2018","December","11","simone",10.625,NA
"190","2018","December","11","gagne",10.875,NA
"191","2018","December","17","raisin",17.9375,NA
"192","2018","December","17","simone",10.125,NA
"193","2018","December","17","gagne",10.375,NA
"194","2018","December","18","raisin",17.875,NA
"195","2018","December","18","simone",10.125,NA
"196","2018","December","18","gagne",10.6875,NA
"197","2019","January","08","raisin",17.9375,NA
"198","2019","January","08","simone",10,NA
"199","2019","January","08","gagne",10.3125,NA
"200","2019","January","10","raisin",17.8125,NA
"201","2019","January","10","simone",10.125,NA
"202","2019","January","10","gagne",10.375,NA
"203","2019","January","14","raisin",17.875,NA
"204","2019","January","14","simone",9.9375,NA
"205","2019","January","14","gagne",10.3125,NA
"206","2019","January","17","raisin",17.8125,20.9625
"207","2019","January","17","simone",10.375,20.9625
"208","2019","January","17","gagne",10.375,20.9625
"209","2019","January","19","raisin",17.75,NA
"210","2019","January","19","simone",10.125,NA
"211","2019","January","19","gagne",10.375,NA
"212",NA,NA,NA,"raisin",17.8125,NA
"213",NA,NA,NA,"simone",10.4375,NA
"214",NA,NA,NA,"gagne",10.5625,NA
"215","2019","January","26","raisin",18,NA
"216","2019","January","26","simone",10.625,NA
"217","2019","January","26","gagne",10.5625,NA
"218","2019","January","27","raisin",18.0625,NA
"219","2019","January","27","simone",10.625,NA
"220","2019","January","27","gagne",10.625,NA
"221","2019","January","28","raisin",17.9375,NA
"222","2019","January","28","simone",10.5,NA
"223","2019","January","28","gagne",10.375,NA
"224","2019","February","04","raisin",18.0625,NA
